"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Spatial Distribution Score","MeanState","above","score","1","0.96498","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Phase Shift","MeanState","global","scalar","months","1.05341","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Seasonal Cycle Score","MeanState","global","score","1","0.855565","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Phase Shift","MeanState","above","scalar","months","0.723268","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Seasonal Cycle Score","MeanState","above","score","1","0.940994","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Bias","MeanState","global","scalar","g/m2/s","-0.000932838","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Bias Score","MeanState","global","score","1","0.668725","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Bias","MeanState","above","scalar","g/m2/s","-0.00461015","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Bias Score","MeanState","above","score","1","0.678703","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","RMSE","MeanState","global","scalar","g/m2/s","0.00576476","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","RMSE Score","MeanState","global","score","1","0.655359","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","RMSE","MeanState","above","scalar","g/m2/s","0.00770899","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","RMSE Score","MeanState","above","score","1","0.592993","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Overall Score","MeanState","global","score","1","0.762566","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Overall Score","MeanState","above","score","1","0.754133","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Benchmark Period Mean (intersection)","MeanState","global","scalar","g/m2/s","0.0155159","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Benchmark Period Mean (complement)","MeanState","global","scalar","g/m2/s","0.0365611","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Period Mean (original grids)","MeanState","global","scalar","g/m2/s","0.01362","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Model Period Mean (intersection)","MeanState","global","scalar","g/m2/s","0.0130043","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Model Period Mean (complement)","MeanState","global","scalar","g/m2/s","0.0196243","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Benchmark Period Mean (intersection)","MeanState","above","scalar","g/m2/s","0.0102527","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Benchmark Period Mean (complement)","MeanState","above","scalar","g/m2/s","0.00445883","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Period Mean (original grids)","MeanState","above","scalar","g/m2/s","0.00776184","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Model Period Mean (intersection)","MeanState","above","scalar","g/m2/s","0.0077496","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Model Period Mean (complement)","MeanState","above","scalar","g/m2/s","0.00764175","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Spatial Distribution Score","MeanState","global","score","1","0.684085","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Spatial Distribution Score","MeanState","above","score","1","0.987124","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Phase Shift","MeanState","global","scalar","months","1.16854","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Seasonal Cycle Score","MeanState","global","score","1","0.84231","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Phase Shift","MeanState","above","scalar","months","0.463586","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Seasonal Cycle Score","MeanState","above","score","1","0.963902","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Bias","MeanState","global","scalar","g/m2/s","-0.00248159","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Bias Score","MeanState","global","score","1","0.626327","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Bias","MeanState","above","scalar","g/m2/s","-0.00250645","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Bias Score","MeanState","above","score","1","0.802593","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","RMSE","MeanState","global","scalar","g/m2/s","0.00710589","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","RMSE Score","MeanState","global","score","1","0.575432","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","RMSE","MeanState","above","scalar","g/m2/s","0.00507566","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","RMSE Score","MeanState","above","score","1","0.697041","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Overall Score","MeanState","global","score","1","0.660717","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLM5","Overall Score","MeanState","above","score","1","0.82954","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Benchmark Period Mean (intersection)","MeanState","global","scalar","g/m2/s","0.0174103","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Benchmark Period Mean (complement)","MeanState","global","scalar","g/m2/s","0.00318215","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Period Mean (original grids)","MeanState","global","scalar","g/m2/s","0.0120077","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Model Period Mean (intersection)","MeanState","global","scalar","g/m2/s","0.0123524","1.0"
